Complexity,Loss,Equation
1,0.24751681,"0.549859"
5,0.23128718,"(x3 * 0.12739526) + 0.5498305"
7,0.22305818,"((x3 - x0) * 0.11074617) + 0.54982996"
9,0.22248441,"((x3 - (x0 * 0.741461)) * 0.1273393) + 0.5497352"
11,0.22027913,"(((x3 - -1.6726711) * (x3 - x0)) * 0.055010084) - -0.49659282"
13,0.21792883,"(x0 - (((-1.5407327 - x3) * (x3 / -1.62127)) + 4.9213257)) * -0.09914738"
15,0.21651351,"(x0 - (((x2 - (x3 * (x3 - -2.0070858))) / -1.9557649) + 5.053779)) * -0.09868246"
17,0.21617767,"(x0 - (x3 + (((x2 - (x3 * (x3 * 1.4799372))) / -2.193038) + 5.175162))) * -0.09392888"
19,0.21442953,"(x0 - (x3 + (((x2 - (((x3 * 1.4832952) * x3) - x1)) / -2.1649282) + 5.1179266))) * -0.09476033"
